”√9F√¸¡Ó∂¡»°
–Õ∫≈						ID							»›¡ø						“≥≥ﬂ¥Á
A25L05PU        0x372010        64KB            256
A25L05PT        0x372020        64KB            256
A25L10PU        0x372011        128KB           256
A25L05PT        0x372021        128KB           256
A25L20PU        0x372012        256KB           256
A25L20PT        0x372022        256KB           256
A25L512         0x373010        64KB            256
A25L010         0x373011        128KB           256
A25L020         0x373012        256KB           256
A25L40P         0x372013        512KB           256
A25L040         0x373013        512KB           256
A25L80P         0x372014        1MB             256
A25L80P         0x7F3720        1MB             256
A25L080         0x373015        1MB             256
A25L080         0x373014        1MB             256
A25L16P(bottom£©0x372015        2MB             256
A25L16P(otp£©   0x372025        2MB             256
A25L016         0x373015        2MB             256
A25L032         0x373016        4MB             256
A25LQ32A        0x374016        4MB             256
AT25FS010       0x1F6601        128KB           256
AT25FS040       0x1F6604        512KB           256
AT25F512        0x1F6500        64KB            256
AT25F512B       0x1F6500        64KB            256
AT25F512A       0x1F6500        64KB            256
AT25F1024       0x1F            128KB           256
AT25F2048       0x1F            256KB           256
AT25F4096       0x1F            512KB           256
AT25DF021       0x1F4300        256KB           256
AT25DF041A      0x1F4401        512KB           256
AT25DF081A      0x1F4501        1MB             256
AT25DF161A      0x1F4602        2MB             256
AT25DF321       0x1F4700        4MB             256
AT25DF321A      0x1F4701        4MB             256
AT25DF641       0x1F4800        8MB             256
AT26F004        0x1F0400        512KB           256
AT26DF041       0x1F4400        512KB           256
AT26DF081A      0x1F4501        1MB             256
AT26DF161A      0x1F4601        2MB             256
AT26DF161       0x1F4600        2MB             256
AT26DF321       0x1F4700        4MB             256
EN25B05         0x1c2010        64KB            256
EN25B05T        0x1c2010        64KB            256
EN25F05         0x1c3110        64KB            256
EN25P05         0x1c2010        64KB            256
EN25LF05        0x1c3110        64KB            256
EN25F10         0x1c3111        128KB           256
EN25P10         0x1c2011        128KB           256
EN25LF10        0x1c3111        128KB           256
EN25LF20        0x1c3112        256KB           256
EN25F20         0x1c3112        256KB           256
EN25F40         0x1c3113        512KB           256
EN25LF40        0x1c3113        512KB           256
EN25Q80         0x1c3014        1MB             256
EN25P80         0x1c2014        1MB             256
EN25T80         0x1c5114        1MB             256
EN25F80         0x1c3114        1MB             256
EN25D16         0x1c3015        2MB             256
EN25B16         0x1c2015        2MB             256
EN25B16T        0x1c2015        2MB             256
EN25F16         0x1c3115        2MB             256
EN25Q16         0x1c3015        2MB             256
EN25QH16        0x1c7015        2MB             256
EN25T16         0x1c5115        2MB             256
EN25B32         0x1c2016        4MB             256
EN25B32T        0x1c2016        4MB             256
EN25P32         0x1c2016        4MB             256
EN25F32         0x1c3116        4MB             256
EN25Q32         0x1c3316        4MB             256
EN25QH32        0x1c7016        4MB             256
EN25B64         0x1c2017        8MB             256
EN25B64T        0x1c2017        8MB             256
EN25P64         0x1c2017        8MB             256
EN25Q64         0x1c3017        8MB             256
EN25QH64        0x1c7017        8MB             256
EN25Q128        0x1c3018        16MB            256
ES25P40         0x4A2013        256KB           256
ES25P80         0x4A2014        1MB             256
ES25P16         0x4A2015        2MB             256
F25L04UA        0x8C8C8C        256KB           256
F25L004A        0x8C2013        256KB           256
F25L08PA        0x8C2014        1MB             256
F25L008A        0x8C2014        1MB             256
F25L016A        0x8C2015        2MB             256
F25L16PA        0x8C1414        2MB             256
F25L32PA        0x8C2016        4MB             256
F25L32QA        0x8C4016        4MB             256
F25L64QA        0x8C4117        8MB             256
SST25VF040      0xBF258d        512KB           256
GD25Q512        0xC84010        64KB            256
GD25Q10         0xC84011        128KB           256
GD25Q20B        0xC84012        256KB           256
GD25Q21B        0xC84112        256KB           256
GD25Q40B        0xC84013        512KB           256
GD25Q41B        0xC84013        512KB           256
GD25LQ40        0xC86013        512KB           256
GD25F40         0xC82013        512KB           256
GD25F80         0xC82014        1MB             256
GD25Q80         0xC84014        1MB             256
GD25Q16         0xC84015        2MB             256
GD25Q32B        0xC84016        4MB             256
